lessonIdx|line|kanji|hiragana|phon|eng
119|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
119|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
119|3||||
120|1|言って下さい。|言って下さい。|Say it, please|Say it, please
120|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
120|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
121|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
121|2|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
121|3||||
122|1|答えてください。|答えてください。|Answer please|Answer please
122|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
122|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
123|1|答えてください。|答えてください。|Answer please|Answer please
123|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
123|3||||
124|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
124|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
124|3||||
125|1|言って下さい。|言って下さい。|Say it, please|Say it, please
125|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
125|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
126|1|言って下さい。|言って下さい。|Say it, please|Say it, please
126|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
126|3|これはラジオです。|これはラジオです。|Kore wa rajio desu.|This is a radio.
127|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
127|2|これはラジオです。|これはラジオです。|Kore wa rajio desu.|This is a radio.
127|3||||
128|1|答えてください。|答えてください。|Answer please|Answer please
128|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
128|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
129|1|答えてください。|答えてください。|Answer please|Answer please
129|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
129|3|これはラジオです。|これはラジオです。|Kore wa rajio desu.|This is a radio.
130|1|言って下さい。|言って下さい。|Say it, please|Say it, please
130|2|靴|くつ|kutsu|shoes
130|3||||
131|1|言って下さい。|言って下さい。|Say it, please|Say it, please
131|2|ラジオ|ラジオ|rajio|radio
131|3||||
132|1|言って下さい。|言って下さい。|Say it, please|Say it, please
132|2||||
132|3||||
133|1|答えてください。|答えてください。|Answer please|Answer please
133|2|これはテレビですか。|これはテレビですか。|Kore wa terebi desu ka.|Is this a television?
133|3|いいえ、これはテレビではありません。|いいえ、これはテレビではありません。|Iie, kore wa terebi dewa arimasen.|No, this is not a television.
134|1|答えてください。|答えてください。|Answer please|Answer please
134|2|じゃあ、これは何ですか。|じゃあ、これはなんですか。|Jaa, kore wa nan desu ka.|Then, what is it?
134|3|これはラジオです。|これはラジオです。|Kore wa rajio desu.|This is a radio.
135|1|答えてください。|答えてください。|Answer please|Answer please
135|2|それはナイフですか。|それはナイフですか。|Sore wa naifu desu ka.|Is that a knife?
135|3|いいえ、それはナイフではありません。|いいえ、それはナイフではありません。|Iie, sore wa naifu dewa arimasen.|No, this is not a knife.
136|1|答えてください。|答えてください。|Answer please|Answer please
136|2|それはおはしです。|それはおはしです。|Sore wa ohashi desu.|It is a pair of chopsticks.
136|3||||
137|1|答えてください。|答えてください。|Answer please|Answer please
137|2|あれはスリッパですか。|あれはスリッパですか。|Are wa surippa desuka.|Are those slippers?
137|3|いいえ、それはスリッパではありません。|いいえ、それはスリッパではありません。|Iie, sore wa surippa dewa arimasen.|No, they are not slippers.
138|1|答えてください。|答えてください。|Answer please|Answer please
138|2|あれは靴です。|あれはくつです。|Are wa kutsu desu.|Those are shoes.
138|3||||
139|1|答えてください。|答えてください。|Answer please|Answer please
139|2|これはスカートですか。|これはスカートですか。|Kore wa sukaato desu ka.|Is this a skirt?
139|3|いいえ、それはスカートではありません。|いいえ、それはスカートではありません。|Iie, sore wa sukaato dewa arimasen.|No, they are not slippers.
140|1|答えてください。|答えてください。|Answer please|Answer please
140|2|それはズボンです。|それはズボンです。|Sore wa zubon desu.|That's a pair of trousers.
140|3||||
141|1|答えてください。|答えてください。|Answer please|Answer please
141|2||||
141|3||||
142|1|聞いてください|聞いてください|Listen please|Listen please
142|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
142|3||||
143|1|聞いてください|聞いてください|Listen please|Listen please
143|2|どれですか|どれですか|Dore desu ka.|Which one?
143|3||||
144|1|聞いてください|聞いてください|Listen please|Listen please
144|2|これです。|これです。|Kore desu.|This one.
144|3||||
145|1|聞いてください|聞いてください|Listen please|Listen please
145|2|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
145|3||||
146|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
146|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
146|3||||
147|1|言って下さい。|言って下さい。|Say it, please|Say it, please
147|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
147|3|どれですか|どれですか|Dore desu ka.|Which one?
148|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
148|2|どれですか|どれですか|Dore desu ka.|Which one?
148|3||||
149|1|答えてください。|答えてください。|Answer please|Answer please
149|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
149|3|どれですか|どれですか|Dore desu ka.|Which one?
150|1|答えてください。|答えてください。|Answer please|Answer please
150|2|これです。|これです。|Kore desu.|This one.
150|3||||
151|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
151|2|これです。|これです。|Kore desu.|This one.
151|3||||
152|1|言って下さい。|言って下さい。|Say it, please|Say it, please
152|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
152|3|どれですか|どれですか|Dore desu ka.|Which one?
153|1|言って下さい。|言って下さい。|Say it, please|Say it, please
153|2|これです。|これです。|Kore desu.|This one.
153|3|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
154|1|繰り返して下さい。|繰り返して下さい。|Repeat, please|Repeat, please
154|2|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
154|3||||
155|1|答えてください。|答えてください。|Answer please|Answer please
155|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
155|3|どれですか|どれですか|Dore desu ka.|Which one?
156|1|答えてください。|答えてください。|Answer please|Answer please
156|2|これです。|これです。|Kore desu.|This one.
156|3|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
157|1|言って下さい。|言って下さい。|Say it, please|Say it, please
157|2|地図|ちず|Chizu|Map
157|3|切手|きって|Kitte|Stamp
158|1|言って下さい。|言って下さい。|Say it, please|Say it, please
158|2||||
158|3||||
159|1|答えてください。|答えてください。|Answer please|Answer please
159|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
159|3|どれですか|どれですか|Dore desu ka.|Which one?
160|1|答えてください。|答えてください。|Answer please|Answer please
160|2|これです。|これです。|Kore desu.|This one.
160|3|これはかぎです。|これはかぎです。|Kore wa kagi desu.|This is a key.
161|1|答えてください。|答えてください。|Answer please|Answer please
161|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
161|3|どれですか|どれですか|Dore desu ka.|Which one?
162|1|答えてください。|答えてください。|Answer please|Answer please
162|2|これです。|これです。|Kore desu.|This one.
162|3|これは地図です。|これはちずです。|Kore wa chizu desu.|This is a map.
163|1|答えてください。|答えてください。|Answer please|Answer please
163|2|それは何ですか。|それは何ですか。|Sore wa nan desu ka.|What is that?
163|3|どれですか|どれですか|Dore desu ka.|Which one?
164|1|答えてください。|答えてください。|Answer please|Answer please
164|2|これです。|これです。|Kore desu.|This one.
164|3|これは切手です。|これきってです。|Kore wa kitte desu.|This is a stamp.
165|1|答えてください。|答えてください。|Answer please|Answer please
165|2||||
165|3||||
